,Train_90%_base,test_%10_base,Train_%90_after_choosing,Test_%10_after_choosing,,,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,bootstrap
0,0.965245573,0.824152606,0.957353878,0.882035467,,,600,2,2,sqrt,97,FALSE
1,0.964662965,0.82082057,0.965798467,0.872165305,,,300,5,1,sqrt,46,FALSE
2,0.96489132,0.825322802,0.96601807,0.868974896,,,400,5,1,sqrt,113,FALSE
3,0.965133117,0.820695892,0.957748531,0.873568181,,,200,2,2,sqrt,133,FALSE
4,0.965825062,0.833653722,0.957891133,0.883496683,,,300,2,2,sqrt,72,FALSE
5,0.964581414,0.829485945,0.957584126,0.880931195,,,700,2,2,sqrt,169,FALSE
6,0.965712077,0.8202238,0.965826109,0.871240137,,,600,5,1,sqrt,189,FALSE
7,0.963904858,0.822054036,0.965890801,0.869432076,,,800,5,1,sqrt,46,FALSE
8,0.964398457,0.814733782,0.965918,0.871090254,,,900,5,1,sqrt,189,FALSE
9,0.96478606,0.823287803,0.965792028,0.871175512,,,700,5,1,sqrt,41,FALSE
10,0.967679863,0.802086382,0.968971566,0.850902716,,,500,5,1,sqrt,82,FALSE
11,0.96891231,0.797036986,0.969115852,0.855741702,,,400,5,1,sqrt,82,FALSE
12,0.968420367,0.804771248,0.981133142,0.840642206,,,200,2,1,sqrt,113,FALSE
13,0.967895486,0.797538108,0.969014404,0.851410028,,,300,5,1,sqrt,189,FALSE
14,0.968648869,0.805649773,0.969015815,0.849792033,,,800,5,1,sqrt,159,FALSE
15,0.968672246,0.793797167,0.969160098,0.850429193,,,700,5,1,sqrt,52,FALSE
16,0.967971974,0.796417982,0.969197999,0.84935738,,,600,5,1,sqrt,113,FALSE
17,0.967626463,0.806060621,0.968998193,0.848515902,,,200,5,1,sqrt,184,FALSE
18,0.967937667,0.787651373,0.981133254,0.848332336,,,900,2,1,sqrt,52,FALSE
19,0.968557779,0.807295227,0.968874349,0.852141748,,,500,5,1,sqrt,179,FALSE
20,0.965277798,0.827965885,0.968254092,0.845344703,,,600,5,1,sqrt,128,FALSE
21,0.964786025,0.82466994,0.966539379,0.830239334,,,400,2,1,sqrt,194,TRUE
22,0.965872467,0.824529298,0.96866087,0.840792729,,,100,5,1,sqrt,123,FALSE
23,0.965713651,0.824726322,0.967960901,0.840359087,,,200,5,1,sqrt,148,FALSE
24,0.965066281,0.815815264,0.968278921,0.84929228,,,100,5,1,sqrt,103,FALSE
25,0.965101124,0.821666097,0.965961101,0.827777341,,,100,2,1,sqrt,87,TRUE
26,0.965192915,0.824641866,0.968582704,0.845214421,,,100,5,1,sqrt,62,FALSE
27,0.965219011,0.829828576,0.968253483,0.848529757,,,800,5,1,sqrt,92,FALSE
28,0.965396801,0.825954372,0.966829057,0.832289315,,,800,2,1,sqrt,159,TRUE
29,0.965972832,0.823537045,0.968208942,0.844625389,,,900,5,1,sqrt,123,FALSE
30,0.965237686,0.860340658,0.952200765,0.868283749,,,700,10,1,sqrt,57,FALSE
31,0.965207911,0.863586381,0.965526912,0.871138922,,,100,5,1,sqrt,16,FALSE
32,0.966364886,0.866170267,0.950521651,0.86944427,,,500,5,1,sqrt,11,FALSE
33,0.965089135,0.860281235,0.961290093,0.879385445,,,1000,2,1,sqrt,11,FALSE
34,0.965345954,0.851917878,0.952103967,0.863672345,,,100,10,1,sqrt,21,FALSE
35,0.965583332,0.857840186,0.952112722,0.866251884,,,700,10,1,sqrt,159,FALSE
36,0.96632787,0.861615121,0.960025475,0.879002015,,,900,2,1,sqrt,11,FALSE
37,0.964997868,0.865098228,0.951892827,0.866856615,,,700,10,1,sqrt,148,FALSE
38,0.96454902,0.866385405,0.951944316,0.870016999,,,700,10,1,sqrt,189,FALSE
39,0.965328484,0.856156925,0.952218262,0.868438859,,,1000,10,1,sqrt,179,FALSE
40,0.966159583,0.886342286,0.967194803,0.887109438,,,800,2,1,sqrt,189,TRUE
41,0.966124287,0.884556986,0.966837972,0.886375667,,,500,2,1,sqrt,133,TRUE
