,Train_90%_base,test_%10_base,Train_%10_after_choosing,Test_%90_after_choosing,,,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,bootstrap
0,0.963642021,0.838278729,0.967807601,0.824993804,,,300,5,1,sqrt,164,FALSE
1,0.963925295,0.85069009,0.967929377,0.825455761,,,700,5,1,sqrt,118,FALSE
2,0.962692808,0.843449957,0.967858667,0.830651793,,,700,5,1,sqrt,200,FALSE
3,0.963891692,0.844927172,0.967997419,0.831008425,,,900,5,1,sqrt,36,FALSE
4,0.963342005,0.842959644,0.967803235,0.832390876,,,800,5,1,sqrt,52,FALSE
5,0.963624796,0.849278731,0.967964773,0.827178164,,,1000,5,1,sqrt,143,FALSE
6,0.963110364,0.841544847,0.967827116,0.827644726,,,900,5,1,sqrt,36,FALSE
7,0.963057849,0.835853949,0.967791723,0.819998836,,,100,5,1,sqrt,159,FALSE
8,0.964088744,0.838356601,0.967912245,0.831802866,,,500,5,1,sqrt,87,FALSE
9,0.963727491,0.840374122,0.967860191,0.830090712,,,900,5,1,sqrt,92,FALSE
10,0.967053256,0.784726154,0.981123684,0.815605209,,,900,2,1,sqrt,138,FALSE
11,0.966682417,0.788294146,0.981128149,0.810194729,,,100,2,1,sqrt,200,FALSE
12,0.966596121,0.78912244,0.981120819,0.814560424,,,900,2,1,sqrt,92,FALSE
13,0.966924422,0.781541555,0.981126769,0.818989889,,,300,2,1,sqrt,92,FALSE
14,0.967011133,0.791345263,0.981122353,0.816097331,,,400,2,1,sqrt,36,FALSE
15,0.967821896,0.776677387,0.970125401,0.823353758,,,200,5,1,sqrt,189,FALSE
16,0.965914495,0.800065077,0.98112719,0.81918268,,,800,2,1,sqrt,164,FALSE
17,0.967044543,0.789575594,0.980852035,0.814678055,,,800,2,1,sqrt,16,FALSE
18,0.967107183,0.787297488,0.970247137,0.824499033,,,800,5,1,sqrt,92,FALSE
19,0.966630994,0.782319223,0.981128938,0.818559688,,,500,2,1,sqrt,36,FALSE
20,0.963692861,0.814690721,0.964195865,0.832286615,,,500,2,1,sqrt,52,TRUE
21,0.964007148,0.826550574,0.964630908,0.827246553,,,800,2,1,sqrt,97,TRUE
22,0.964291571,0.830359922,0.969605413,0.836497052,,,500,5,1,sqrt,26,FALSE
23,0.962794071,0.821275461,0.964389488,0.824052765,,,900,2,1,sqrt,16,TRUE
24,0.964065932,0.812413354,0.964701779,0.83341103,,,800,2,1,sqrt,11,FALSE
25,0.963205442,0.818105424,0.96468405,0.830393697,,,600,2,1,sqrt,194,TRUE
26,0.963054035,0.827489493,0.964750072,0.833473225,,,800,2,1,sqrt,67,TRUE
27,0.964447504,0.830245001,0.964743679,0.827716594,,,600,2,1,sqrt,21,TRUE
28,0.963775324,0.83375384,0.964623188,0.822113183,,,300,2,1,sqrt,92,TRUE
29,0.963644549,0.823027718,0.964677969,0.831762434,,,800,2,1,sqrt,123,TRUE
30,0.964676488,0.863135988,0.967684957,0.868337881,,,400,5,1,sqrt,92,FALSE
31,0.963160821,0.86412257,0.967452354,0.862308519,,,600,5,1,sqrt,113,FALSE
32,0.964598171,0.873248875,0.967379788,0.863542132,,,800,5,1,sqrt,138,FALSE
33,0.96383437,0.868381297,0.9673349,0.865100315,,,200,5,1,sqrt,87,FALSE
34,0.964656028,0.863684613,0.967559493,0.867983162,,,700,5,1,sqrt,169,FALSE
35,0.963559928,0.85875279,0.96746064,0.863802227,,,300,5,1,sqrt,164,FALSE
36,0.963400953,0.863760056,0.968002528,0.868342907,,,400,5,1,sqrt,189,FALSE
37,0.963516878,0.866199877,0.967635394,0.862147719,,,900,5,1,sqrt,143,FALSE
